physical_branch,branch_name,square_footage,ward_no,ward_name,present_site_year
1,Albion,29000,1,Etobicoke North,2017
1,Albert Campbell,28957,20,Scarborough Southwest,1971
1,Alderwood,7341,3,Etobicoke-Lakeshore,1999
1,Agincourt,27000,22,Scarborough-Agincourt,1991
1,Armour Heights,2988,8,Eglinton-Lawrence,1982
1,Annette Street,7806,4,Parkdale-High Park,1908
1,Amesbury Park,6320,5,York South-Weston,1967
1,Brookbanks,7933,16,Don Valley East,1968
1,Black Creek,5782,7,Humber River-Black Creek,2002
1,Bendale,8500,21,Scarborough Centre,1961
1,Beaches,8000,19,Beaches-East York,1914
1,Barbara Frum,29417,8,Eglinton-Lawrence,1992
1,Bloor/Gladstone,20627,9,Davenport,1913
1,Brentwood,17500,3,Etobicoke-Lakeshore,1955
1,Bridlewood,8000,22,Scarborough-Agincourt,1992
1,Burrows Hall,6500,23,Scarborough North,1998
1,Cliffcrest,4859,20,Scarborough Southwest,2008
1,Centennial,6866,6,York Centre,1966
1,Cedarbrae,31506,24,Scarborough-Guildwood,1958
1,City Hall,5074,10,Spadina-Fort York,1965
1,North York Central Library,168022,18,Willowdale,1987
1,College/Shaw,7664,11,University-Rosedale,1984
1,Danforth/Coxwell,9617,19,Beaches-East York,1989
1,Don Mills,21563,16,Don Valley East,1961
1,Downsview,20016,6,York Centre,1962
1,Deer Park,16558,12,Toronto-St. Paul's,1952
1,Dawes Road,6740,19,Beaches-East York,1976
1,Davenport,3604,12,Toronto-St. Paul's,1988
1,Dufferin/St. Clair,11208,9,Davenport,1921
1,Eatonville,12203,2,Etobicoke Centre,1964
1,Elmbrook Park,3600,2,Etobicoke Centre,1988
1,Evelyn Gregory,6200,5,York South-Weston,1968
1,Ethennonnhawahstihnen',13418,17,Don Valley North,2023
1,Eglinton Square,10000,20,Scarborough Southwest,1983
1,Forest Hill,10399,8,Eglinton-Lawrence,1962
1,Fort York,16008,10,Spadina-Fort York,2014
1,Flemingdon Park,7250,16,Don Valley East,1981
1,Fairview,69458,17,Don Valley North,1976
1,Gerrard/Ashdale,6504,14,Toronto-Danforth,1924
1,Goldhawk Park,8000,23,Scarborough North,1992
1,Guildwood,4577,24,Scarborough-Guildwood,1974
1,Humber Bay,2400,3,Etobicoke-Lakeshore,1951
1,Highland Creek,7000,25,Scarborough-Rouge Park,1994
1,Hillcrest,7473,17,Don Valley North,1975
1,High Park,8850,4,Parkdale-High Park,1916
1,Humber Summit,9040,7,Humber River-Black Creek,1974
1,Humberwood,5748,1,Etobicoke North,1996
1,Jane/Dundas,11955,4,Parkdale-High Park,1975
1,Jones,3636,14,Toronto-Danforth,1962
1,Jane/Sheppard,7000,7,Humber River-Black Creek,1989
1,Kennedy/Eglinton,6713,21,Scarborough Centre,1988
1,Long Branch,6418,3,Etobicoke-Lakeshore,1955
1,Leaside,12000,15,Don Valley West,1950
1,Locke,11647,15,Don Valley West,1949
1,Lillian H. Smith,38935,11,University-Rosedale,1995
1,Main Street,8664,19,Beaches-East York,1921
1,Malvern,25834,25,Scarborough-Rouge Park,1982
1,Maria A. Shchuka,25475,12,Toronto-St. Paul's,1951
1,McGregor Park,7793,21,Scarborough Centre,2004
1,Mount Dennis,11350,5,York South-Weston,1951
1,Mimico Centennial,17469,3,Etobicoke-Lakeshore,1915
1,Mount Pleasant,5829,15,Don Valley West,1992
1,Maryvale,11746,21,Scarborough Centre,1987
1,Morningside,7000,25,Scarborough-Rouge Park,2006
1,Northern District,48645,8,Eglinton-Lawrence,1984
1,Northern Elms,3936,1,Etobicoke North,2005
1,New Toronto,9925,3,Etobicoke-Lakeshore,1994
1,Oakwood Village Library and Arts Centre,17270,12,Toronto-St. Paul's,1997
1,Pape/Danforth,8175,14,Toronto-Danforth,1929
1,Perth/Dupont,3627,9,Davenport,1983
1,Parkdale,24083,4,Parkdale-High Park,1964
1,Parliament Street,14634,13,Toronto Centre,1969
1,Palmerston,8493,11,University-Rosedale,1971
1,Port Union,5000,25,Scarborough-Rouge Park,1984
1,Pleasant View,7000,17,Don Valley North,1975
1,Queen/Saulter,2957,14,Toronto-Danforth,1980
1,Riverdale,9658,14,Toronto-Danforth,1928
1,Richview,47252,2,Etobicoke Centre,1966
1,Runnymede,12034,4,Parkdale-High Park,1930
1,Rexdale,5088,1,Etobicoke North,1959
1,Sanderson,12702,10,Spadina-Fort York,1979
1,Scarborough Civic Centre,14500,21,Scarborough Centre,2015
1,St. Clair/Silverthorn,4850,9,Davenport,1981
1,St. James Town,7800,13,Toronto Centre,2004
1,St. Lawrence,4833,13,Toronto Centre,1982
1,Spadina Road,3952,11,University-Rosedale,1977
1,Steeles,5453,22,Scarborough-Agincourt,1987
1,Swansea Memorial,1127,4,Parkdale-High Park,1959
1,S. Walter Stewart,25847,14,Toronto-Danforth,1960
1,Taylor Memorial,5000,20,Scarborough Southwest,1962
1,Thorncliffe,11034,15,Don Valley West,1970
1,Todmorden Room,554,14,Toronto-Danforth,1961
1,Toronto Reference Library,426535,11,University-Rosedale,1977
1,Victoria Village,5383,16,Don Valley East,1967
1,Weston,11944,5,York South-Weston,1914
1,Woodview Park,4110,7,Humber River-Black Creek,1964
1,Woodside Square,9944,23,Scarborough North,1977
1,Wychwood,15798,12,Toronto-St. Paul's,1916
1,Yorkville,9053,11,University-Rosedale,1907
1,York Woods,42176,7,Humber River-Black Creek,1970
